protein_name	COG	COG_ID	COG_System	COG_Process	locusId
Selenocysteine-specific protein translation elongation factor	COG3276	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS23480
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG4674	P	Metabolism	Inorganic ion transport and metabolism	H16_RS19095
Multimeric flavodoxin WrbA	COG0655	S	Poorly characterized	Function unknown	H16_RS26485
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS23645
2-Oxoisovalerate dehydrogenase E1 component,alpha subunit (EC 1.2.4.4)	COG1071	C	Metabolism	Energy production and conversion	H16_RS29860
Uncharacterized protein	COG5267	S	Poorly characterized	Function unknown	H16_RS29445
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS19820
Predicted permease	COG0795	P	Metabolism	Inorganic ion transport and metabolism	H16_RS14915
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS14620
Uncharacterized protein	COG1196	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	PHG108
Uncharacterized protein	COG3360	S	Poorly characterized	Function unknown	H16_RS19615
Transcriptional regulator containing CRP/CAP domains	COG0664	K	Information storage and processing	Transcription	H16_RS18780
ABC-type transporter, permease component: POPT family	COG1177	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20995
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS20435
Uncharacterized protein	COG3755	S	Poorly characterized	Function unknown	H16_RS12530
Permease of the major facilitator superfamily	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS30175
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS30270
Flp pilus assembly ATPase CpaF (EC 3.6.1.-)	COG4962	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS19665
MFS transporter, Sugar (And other) family	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS01970
Putative molybdopterin cofactor biosysnthesis protein	COG1763	H	Metabolism	Coenzyme transport and metabolism	PHG275
Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	COG1487	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS14600
Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS09400
Transport system kinase	COG1703	P	Metabolism	Inorganic ion transport and metabolism	H16_RS27920
Phenol hydroxylase P1 protein (EC 1.14.13.7)	NA	S	Poorly characterized	Energy production and conversion	H16_RS21425
MFS transporter, AAHS family	COG0477	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22430
Uncharacterized protein	COG1733	K	Information storage and processing	Transcription	H16_RS28705
Signal transduction histidine kinase (EC 2.7.3.-)	COG2972	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS11165
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS24290
TRAP-type transporter, large permease component	COG1593	P	Metabolism	Inorganic ion transport and metabolism	H16_RS09665
TRAP-type transporter, large permease component	COG1593	P	Metabolism	Inorganic ion transport and metabolism	H16_RS33670
Siderophore biosynthesis related protein/Acetyltransferase or N-acetylase of ribosomal proteins (CO)	COG1670	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS27125
Indole-3-pyruvate decarboxylase (EC 4.1.1.74)	COG3961	GH	Metabolism	Carbohydrate transport and metabolism	H16_RS25695
Uncharacterized protein	COG0457	S	Poorly characterized	Function unknown	H16_RS06340
Uncharacterized protein	COG2343	S	Poorly characterized	Function unknown	H16_RS31120
Multidrug resistance efflux pump	COG1566	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS26825
Glutathione S-transferase (EC 2.5.1.18)	COG0625	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS21580
ABC-type transporter, permease component: POPT family	COG1176	P	Metabolism	Inorganic ion transport and metabolism	H16_RS21000
3-Hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS24700
Putative peptidase, M29 family (EC 3.4.11.-)	COG2309	E	Metabolism	Amino acid transport and metabolism	H16_RS22795
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS28380
Short chain dehydrogenase (EC 1.-.-.-)	COG0300	S	Poorly characterized	Function unknown	H16_RS21900
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS19225
Universal stress protein, UspA family	COG0589	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS13180
Universal stress protein, UspA family	COG0589	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS13185
Kef-type K+ transport system, predicted NAD-binding component	COG4651	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12660
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS29105
Cytosine deaminase or related metal-dependent hydrolase (EC 3.5.4.-)	COG0402	F	Metabolism	Nucleotide transport and metabolism	H16_RS06765
Outer membrane receptor, TonB dependent	COG4774	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24260
ABC-type transporter, ATPase component: PepT family (EC 3.6.3.23)	COG0444	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24385
Phospholipase D (EC 3.1.4.4)	COG0398	I	Metabolism	Lipid transport and metabolism	H16_RS23405
Hypothetical membrane spanning protein	COG2259	S	Poorly characterized	Inorganic ion transport and metabolism	H16_RS10110
Malate/L-lactate dehydrogenase (EC 1.1.1.-)	COG2055	C	Metabolism	Energy production and conversion	H16_RS06235
Response regulator, OmpR-family	COG0745	KT	Information storage and processing	Transcription	H16_RS27650
Antitoxin	COG2161	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS16870
Outer membrane protein (Porin)	COG3203	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS03070
Uncharacterized protein	COG5445	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS06745
TRAP-type transport system, small permease component	COG3090	P	Metabolism	Inorganic ion transport and metabolism	H16_RS23135
Carboxylesterase	COG1647	S	Poorly characterized	Function unknown	H16_RS10825
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS23060
RtcB Protein	COG1690	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS21500
Monooxygenase (EC 1.14.14.-)	COG2072	C	Metabolism	Energy production and conversion	H16_RS27455
NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	COG1012	C	Metabolism	Energy production and conversion	H16_RS22900
APC transporter, CAT family	COG0531	E	Metabolism	Amino acid transport and metabolism	H16_RS01360
Uncharacterized YceI-like periplasmic protein	COG2353	S	Poorly characterized	Function unknown	H16_RS13895
Enoyl-CoA hydratase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS27430
Medium-chain-fatty-acid-CoA ligase (EC 6.2.1.-)	COG0318	IQ	Metabolism	Lipid transport and metabolism	H16_RS31275
Hypothetical membrane associated protein	COG0741	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS14240
MFS transporter, DHA1 family	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS18545
Cell wall-associated hydrolase	COG0791	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS12020
ABC-type transporter, ATPase and permease components: LipidE family (EC 3.6.3.-)	COG1132	P	Metabolism	Inorganic ion transport and metabolism	H16_RS13270
NADPH:quinone oxidoreductase (EC 1.6.5.5)	COG0604	X	Metabolism	Oxidative phosphorylation	H16_RS11880
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS28835
Cytochrome b	COG1290	X	Metabolism	Oxidative phosphorylation	H16_RS16945
Methyltransferase	COG0500	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS03600
Uncharacterized protein	COG2975	S	Poorly characterized	Function unknown	H16_RS05785
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS23320
Uncharacterized protein	COG2404	S	Poorly characterized	Function unknown	H16_RS21885
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS05935
Glycosyltransferase (EC 2.4.-.-)	COG1819	CG	Metabolism	Energy production and conversion	H16_RS00450
MFS transporter, MHS family	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS07255
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS19375
Heme d1 biosynthesis protein (NirF)	COG3391	X	Metabolism	Oxidative phosphorylation	H16_RS30085
Type II secretory pathway, pullulanase PulA (EC 3.2.1.41)	COG1523	G	Metabolism	Carbohydrate transport and metabolism	H16_RS26515
Amidase related to nicotinamidase (EC 3.5.1.-)	COG1335	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS25745
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	COG0318	IQ	Metabolism	Lipid transport and metabolism	H16_RS13995
Hypothetical membrane spanning protein	NA	S	Poorly characterized	Function unknown	H16_RS12380
Uncharacterized protein	COG3817	S	Poorly characterized	Function unknown	H16_RS00610
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS03670
Uncharacterized protein conserved in bacteria	COG3521	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS03270
ABC-type transporter, periplasmic component: HAAT family	COG0683	E	Metabolism	Amino acid transport and metabolism	H16_RS19110
MFS transporter	COG2271	G	Metabolism	Carbohydrate transport and metabolism	H16_RS24610
LPS-assembly lipoprotein LptE	COG2980	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS15660
LPS-assembly lipoprotein LptE	COG2980	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS15665
Hypothetical membrane associated protein	COG1917	S	Poorly characterized	Function unknown	H16_RS09050
Aromatic amino acid APC transporter	COG1113	E	Metabolism	Amino acid transport and metabolism	H16_RS24170
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS24090
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG378
Thioredoxin domain-containing protein	COG3118	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS13935
Putative diaminopimelate decarboxylase	COG0019	E	Metabolism	Amino acid transport and metabolism	PHG121
Conserved hypothetical membrane protein	COG4291	S	Poorly characterized	Function unknown	H16_RS23465
Predicted metal-binding protein	COG3019	S	Poorly characterized	Function unknown	H16_RS06620
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	COG0183	I	Metabolism	Lipid transport and metabolism	H16_RS04335
Glutathione S-transferase (EC 2.5.1.18)	COG0625	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS13255
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_A2483
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20400
Phenylacetic acid degradation protein PaaI (EC 3.1.2.23)	COG2050	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS07595
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS04975
Transcriptional regulator, MarR-family	COG1846	K	Information storage and processing	Transcription	H16_RS31465
Transcriptional regulator, MarR-family	COG1846	K	Information storage and processing	Transcription	H16_RS31470
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS00065
Uncharacterized protein	COG3558	S	Poorly characterized	Function unknown	H16_RS24235
Arginine/lysine/ornithine decarboxylase (EC 4.1.1.19)	COG1982	E	Metabolism	Amino acid transport and metabolism	H16_RS14605
Outer membrane protein and related peptidoglycan-associated (Lipo)proteins	COG2885	N	Cellular processes and signaling	Cell motility	H16_A0990
Permease of the major facilitator superfamily	COG2270	S	Poorly characterized	Function unknown	H16_RS06370
Predicted ATPase with chaperone activity/Magnesium chelatase, subunit ChlI	COG0606	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS01560
2-Hydroxy-acid oxidase, Fe-S subunit (EC 1.1.3.15)	COG0247	C	Metabolism	Energy production and conversion	H16_RS15445
Zinc-type alcohol dehydrogenase-like protein	COG0604	C	Metabolism	Energy production and conversion	H16_RS27215
Signal transduction histidine kinase containing a CHASE3 sensory domain (EC 2.7.3.-)	COG4585	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS00745
Uncharacterized protein	COG4319	S	Poorly characterized	Function unknown	H16_RS21965
Phenol hydroxylase P0 protein (EC 1.14.13.7)	NA	S	Poorly characterized	Energy production and conversion	H16_RS21420
Transcriptional regulator, MarR-family	COG1846	K	Information storage and processing	Transcription	H16_RS21195
Uncharacterized protein	COG4680	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS13315
GTPase Der (GTP-binding protein EngA)	COG1160	S	Poorly characterized	Translation, ribosomal structure and biogenesis	H16_RS11795
Uncharacterized protein	COG3550	S	Poorly characterized	Signal transduction mechanisms	H16_RS10345
Enoyl-CoA hydratase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS20655
Thiol-disulfide isomerase involved in cytochromec biogenesis	COG0526	X	Metabolism	Oxidative phosphorylation	H16_RS23535
Probable lipid II flippase MurJ	COG0728	P	Metabolism	Inorganic ion transport and metabolism	H16_RS15290
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS29485
Predicted ferredoxin	COG1141	C	Metabolism	Energy production and conversion	H16_RS27420
Putative signal-transduction protein	COG2905	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS10050
Membrane associated metalloendopeptidase (EC 3.4.-.-)	COG0739	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS02415
Aminotransferase, class I and II (EC 2.6.1.-)	COG0436	E	Metabolism	Amino acid transport and metabolism	H16_RS10305
Molybdopterin-guanine dinucleotide biosynthesis protein	COG1763	H	Metabolism	Coenzyme transport and metabolism	H16_RS02250
Bacterioferritin	COG2193	P	Metabolism	Inorganic ion transport and metabolism	H16_RS01615
Periplasmic serine protease (ClpP class) (EC 3.4.-.-)	COG0616	OU	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS12825
Molybdopterin biosynthesis protein	COG0303	H	Metabolism	Coenzyme transport and metabolism	H16_RS12860
Probable extra-cytoplasmic solute receptor	COG3181	S	Poorly characterized	Function unknown	H16_RS28770
Phage integrase family protein	COG0582	L	Information storage and processing	Replication, recombination and repair	H16_RS08360
Uncharacterized protein	COG3517	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS03230
Oligopeptide transporter	COG1297	P	Metabolism	Inorganic ion transport and metabolism	H16_RS31450
ABC-type RTX toxin transporter, ATPase and permease components: Prot1E family (EC 3.6.3.-)	COG2274	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22180
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS21625
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_B2079
Cation/multidrug efflux pump	COG0841	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS03020
Cyclopropane fatty acid synthase (EC 2.1.1.79)	COG2230	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS13975
Uncharacterized protein	COG3501	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS30805
Glycosyltransferase involved in LPS biosynthesis (EC 2.4.1.-)	COG3306	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS04485
DNA-3-methyladenine glycosylase II, adenosine deaminase (EC 3.2.2.21)	COG0122	K	Information storage and processing	Transcription	H16_RS31425
NAD(P) transhydrogenase subunit alpha 1 (EC 1.6.1.2)	COG3288	C	Metabolism	Energy production and conversion	H16_RS15610
Response regulator, OmpR-family	COG0745	K	Information storage and processing	Transcription	H16_RS31485
Predicted hydrolase or acyltransferase (EC 3.-.-.-)	COG2267	I	Metabolism	Lipid transport and metabolism	H16_RS11135
Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)	COG2717	X	Metabolism	Oxidative phosphorylation	H16_RS17180
Short chain alcohol dehydrogenase (EC 1.1.1.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS22045
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS13430
Probable extra-cytoplasmic solute receptor	COG3181	S	Poorly characterized	Function unknown	H16_RS21410
Uncharacterized conserved protein	COG2606	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS13840
Cytochrome C-type biogenesis protein	COG0526	X	Metabolism	Oxidative phosphorylation	PHG219
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS23395
Uncharacterized protein	COG1430	S	Poorly characterized	Function unknown	H16_RS15250
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS27800
Bo3-type quinol oxidase, subunit III (EC 1.10.3.-)	COG1845	X	Metabolism	Oxidative phosphorylation	H16_RS08170
Glycosyltransferase, probably involved in lipopolysaccharide biosynthesis (EC 2.4.-.-)	COG0438	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS14395
L-Alanine-DL-glutamate epimerase, muconate lactonizing enzyme	COG4948	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS09645
Phenylacetic acid degradation protein	COG2050	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS00495
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS21985
Transcriptional regulator, MerR-family	COG0789	K	Information storage and processing	Transcription	H16_RS00415
EPS I polysaccharide export outer membrane protein epsA/Periplasmic protein involved in p	COG1596	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS09250
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG204
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS14310
Citrate synthase	COG0372	C	Metabolism	Energy production and conversion	H16_RS13125
MFS transporter, DHA2 family	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS00290
Uncharacterized protein	COG1432	S	Poorly characterized	Function unknown	H16_RS16095
Heme exporter protein C (Cytochrome c-type biogenesis protein)	COG0755	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS23515
Heme exporter protein C (Cytochrome c-type biogenesis protein)	COG0755	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS23520
Uncharacterized protein	COG5652	S	Poorly characterized	Function unknown	H16_RS07345
UDP-glucose 4-epimerase (EC 5.1.3.2)	COG0451	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS20150
Uncharacterized protein	COG3758	S	Poorly characterized	Function unknown	H16_RS15035
Cysteine synthase (EC 2.5.1.47)	COG0031	E	Metabolism	Amino acid transport and metabolism	H16_RS09490
Response regulator containing sigma54 activator and Fis-type DNA-binding domains	COG2204	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS16125
Predicted acyl-CoA transferase/carnitine dehydratase (EC 5.1.99.-)	COG1804	C	Metabolism	Energy production and conversion	H16_RS31130
Gamma-glutamyltransferase 1 (EC 2.3.2.2)	COG0405	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS05455
Carbon starvation protein A	COG1966	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS18520
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS00460
Peroxiredoxin (EC 1.11.1.-)	COG0678	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS24245
MFS transporter, NNP family	COG2223	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22630
Osmosensitive K+ channel histidine kinase (EC 2.7.3.-)	COG0642	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS12945
ABC-type transporter, permease component: TauT family	COG0600	P	Metabolism	Inorganic ion transport and metabolism	H16_RS29920
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS25380
2,6-dioxo-6-phenylhexa-3-enoate hydrolase (EC 3.7.1.8)	COG2267	I	Metabolism	Lipid transport and metabolism	H16_RS21725
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS05135
Putative peptidase, M20A subfamily (EC 3.4.-.-)	COG0624	E	Metabolism	Amino acid transport and metabolism	H16_RS17900
Pseudouridine synthase (EC 5.4.99.-)	COG1187	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS11540
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS08495
MFS transporter, AAHS family	COG2271	G	Metabolism	Carbohydrate transport and metabolism	H16_RS08615
Single-stranded DNA-binding protein (SSB)	COG0629	L	Information storage and processing	Replication, recombination and repair	H16_RS01975
Universal stress protein, UspA family	COG0589	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS20920
Uncharacterized protein	COG4544	S	Poorly characterized	Replication, recombination and repair	H16_RS24065
Putative 2-Ketogluconate-6-phosphate reductase (EC 1.1.1.43)	COG1052	CH	Metabolism	Energy production and conversion	H16_RS27790
Sulfur oxidation protein (SoxY)	COG5501	S	Poorly characterized	Inorganic ion transport and metabolism	H16_RS17805
von Willebrand factor (VWF) type A domain	COG2304	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07985
ABC-type transporter, periplasmic component: PepT family	COG0747	P	Metabolism	Inorganic ion transport and metabolism	H16_RS16440
Uncharacterized protein	COG0444	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12400
Uncharacterized protein	COG3311	K	Information storage and processing	Transcription	H16_RS15950
Hypothetical membrane spanning protein	COG2930	S	Poorly characterized	Function unknown	H16_RS15900
Cytochrome b561 (EC 1.2.2.2)	COG3038	X	Metabolism	Oxidative phosphorylation	H16_RS15585
Response regulator	COG3437	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS15555
Predicted Phosphate transport regulator	COG1392	P	Metabolism	Inorganic ion transport and metabolism	H16_RS11365
Low-affinity inorganic phosphate transporter	COG0306	P	Metabolism	Inorganic ion transport and metabolism	H16_RS11360
Phosphotransferase system, HPr-related proteins	COG1925	G	Metabolism	Carbohydrate transport and metabolism	H16_RS11025
ABC-type transporter, permease component: HAAT family	COG0559	P	Metabolism	Inorganic ion transport and metabolism	H16_RS28900
ABC-type transporter, duplicated permease domains	COG1178	P	Metabolism	Inorganic ion transport and metabolism	H16_RS28495
Molecular chaperone, HSP20 family	COG0071	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS10045
Uncharacterized protein	COG2020	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS09865
Uncharacterized protein	COG2020	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS09870
Uncharacterized protein	COG2020	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS34225
Glutathione S-transferase (EC 2.5.1.18)	COG0625	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS00300
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS33820
Endo alpha-1,4 polygalactosaminidase precusor	COG3868	S	Poorly characterized	Function unknown	H16_RS16770
Transcriptional regulator, MarR-family	COG1733	K	Information storage and processing	Transcription	H16_RS16720
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS15690
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS25385
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS30855
Predicted lactoylglutathione lyase	COG0346	E	Metabolism	Amino acid transport and metabolism	H16_RS34435
Putative MFS transporter	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS24755
Putative peptidase, M23B subfamily (EC 3.4.24.-)	COG1388	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS05810
Uncharacterized protein	COG1309	K	Information storage and processing	Transcription	H16_RS27265
Glucarate dehydratase (EC 4.2.1.40)	COG4948	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS19365
ABC-type transporter (EC 3.6.3.-)	COG0410	P	Metabolism	Inorganic ion transport and metabolism	H16_RS19090
Monooxygenase / Flavin Reductase (EC 1.14.14.1)	COG1853	S	Poorly characterized	Energy production and conversion	H16_RS23440
Hydrolase or acyltransferase (Alpha/beta hydrolase superfamily) (EC 3.-.-.-)	COG2267	I	Metabolism	Lipid transport and metabolism	H16_RS22790
Salicylate 5-hydroxylase large oxygenase component (EC 1.14.12.-) (Fragment)	COG4638	P	Metabolism	Inorganic ion transport and metabolism	H16_RS08125
Glutathione S-transferase (EC 2.5.1.18)	COG0625	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS07625
HypB3	COG0378	KO	Information storage and processing	Transcription	PHG078
Uncharacterized protein	COG2020	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS00215
Uncharacterized protein	COG2501	S	Poorly characterized	Translation, ribosomal structure and biogenesis	H16_RS13885
Rubredoxin	COG1773	C	Metabolism	Energy production and conversion	H16_RS29060
Probable lipid-transfer protein	COG0183	I	Metabolism	Lipid transport and metabolism	H16_RS28245
Ubiquinol oxidase subunit 2	COG1622	X	Metabolism	Oxidative phosphorylation	H16_RS23885
Uncharacterized protein	COG1262	S	Poorly characterized	Function unknown	H16_RS07830
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS25230
ABC-type transporter, ATPase component: PepT family (EC 3.6.3.23)	COG4608	P	Metabolism	Inorganic ion transport and metabolism	H16_RS06475
Amidase (EC 3.5.1.-)	COG0154	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS07295
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS24535
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS23925
2Fe-2S ferredoxin	COG1018	C	Metabolism	Energy production and conversion	H16_RS21450
GGDEF family protein	COG2199	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS04820
Hypothetical membrane spanning protein	COG1073	S	Poorly characterized	Function unknown	H16_RS27090
Putative GTPase (G3E family) (EC 3.6.-.-)	COG0523	S	Poorly characterized	Function unknown	H16_RS16820
Uncharacterized protein	COG4312	S	Poorly characterized	Function unknown	H16_RS21775
Chromate transport protein ChrA	COG2059	P	Metabolism	Inorganic ion transport and metabolism	H16_RS26120
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS14200
Transcriptional regulator, DeoR-family	COG2378	K	Information storage and processing	Transcription	H16_RS15465
TPR repeat	COG0457	S	Poorly characterized	Function unknown	H16_RS06060
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	COG0318	IQ	Metabolism	Lipid transport and metabolism	H16_RS25400
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG350
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	I	Metabolism	Lipid transport and metabolism	H16_RS22050
ABC-type transporter, permease component	COG4177	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07030
Uncharacterized conserved protein	COG1656	S	Poorly characterized	Function unknown	H16_RS01210
Periplasmic nitrate reductase accessory protein	COG4459	C	Metabolism	Energy production and conversion	PHG209
Co/Zn/Cd efflux system component	COG0053	P	Metabolism	Inorganic ion transport and metabolism	H16_RS17755
Universal stress protein, UspA family	COG0589	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS09995
